boundary_is_bbox_fallback,boundary_source,room_type,sample_id,source_scene_json
False,room_floor_mesh,livingroom,36c96aa6-a318-4212-aecc-22a206d7b217_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json
False,room_floor_mesh,elderlyroom,36c96aa6-a318-4212-aecc-22a206d7b217_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json
False,room_floor_mesh,study,36c96aa6-a318-4212-aecc-22a206d7b217_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json
False,room_floor_mesh,bedroom,36c96aa6-a318-4212-aecc-22a206d7b217_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/36c96aa6-a318-4212-aecc-22a206d7b217.json
False,room_floor_mesh,bedroom,faf62fbc-739a-40da-aac3-12b6807ee7e3_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/faf62fbc-739a-40da-aac3-12b6807ee7e3.json
False,room_floor_mesh,bedroom,faf62fbc-739a-40da-aac3-12b6807ee7e3_room_01,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/faf62fbc-739a-40da-aac3-12b6807ee7e3.json
False,room_floor_mesh,courtyard,faf62fbc-739a-40da-aac3-12b6807ee7e3_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/faf62fbc-739a-40da-aac3-12b6807ee7e3.json
False,room_floor_mesh,livingroom,faf62fbc-739a-40da-aac3-12b6807ee7e3_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/faf62fbc-739a-40da-aac3-12b6807ee7e3.json
False,room_floor_mesh,bedroom,faf62fbc-739a-40da-aac3-12b6807ee7e3_room_08,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/faf62fbc-739a-40da-aac3-12b6807ee7e3.json
False,room_floor_mesh,bedroom,23a5fa77-0aa5-45f4-8399-3265005b1def_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/23a5fa77-0aa5-45f4-8399-3265005b1def.json
False,room_floor_mesh,livingroom,23a5fa77-0aa5-45f4-8399-3265005b1def_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/23a5fa77-0aa5-45f4-8399-3265005b1def.json
False,room_floor_mesh,livingroom,5399de83-ec0c-4ef3-a97e-9bef301222d5_room_04,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5399de83-ec0c-4ef3-a97e-9bef301222d5.json
False,room_floor_mesh,bedroom,5399de83-ec0c-4ef3-a97e-9bef301222d5_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5399de83-ec0c-4ef3-a97e-9bef301222d5.json
False,room_floor_mesh,bedroom,5399de83-ec0c-4ef3-a97e-9bef301222d5_room_06,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/5399de83-ec0c-4ef3-a97e-9bef301222d5.json
False,room_floor_mesh,bedroom,6379e703-a2fb-4d36-a417-30e0357a31ad_room_02,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6379e703-a2fb-4d36-a417-30e0357a31ad.json
False,room_floor_mesh,livingroom,6379e703-a2fb-4d36-a417-30e0357a31ad_room_03,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6379e703-a2fb-4d36-a417-30e0357a31ad.json
False,room_floor_mesh,bedroom,6379e703-a2fb-4d36-a417-30e0357a31ad_room_05,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/6379e703-a2fb-4d36-a417-30e0357a31ad.json
False,room_floor_mesh,bedroom,3f2629fe-a957-4e83-893a-28d476318740_room_00,/wuqingyaoa800/chengjiajia_datas/dataset/JIAQI-CHEN/3D-Front/3D-FRONT/3f2629fe-a957-4e83-893a-28d476318740.json
